fips,number_farms
01001,389
01003,989
01005,571
01007,189
01009,1241
01011,273
01013,407
01015,592
01017,301
01019,561
01021,543
01023,248
01025,263
01027,401
01029,341
01031,899
01033,687
01035,346
01037,152
01039,1051
01041,575
01043,2007
01045,487
01047,506
01049,2035
01051,552
01053,454
01055,853
01057,414
01059,825
01061,1017
01063,304
01065,456
01067,498
01069,816
01071,1376
01073,394
01075,353
01077,1466
01079,1551
01081,315
01083,1230
01085,441
01087,352
01089,1033
01091,499
01093,715
01095,1505
01097,698
01099,480
01101,603
01103,1237
01105,389
01107,433
01109,600
01111,611
01113,280
01115,540
01117,401
01119,428
01121,519
01123,345
01125,497
01127,482
01129,371
01131,316
01133,520
02010,40
02020,291
02090,217
02110,52
02122,162
04001,5591
04003,1093
04005,2239
04007,195
04009,412
04011,159
04012,125
04013,2479
04015,335
04017,3846
04019,855
04021,938
04023,236
04025,940
04027,562
05001,492
05003,376
05005,561
05007,2157
05009,1282
05011,185
05013,92
05015,1126
05017,313
05019,381
05021,610
05023,797
05025,211
05027,278
05029,816
05031,583
05033,886
05035,263
05037,325
05039,90
05041,244
05043,308
05045,1288
05047,829
05049,753
05051,361
05053,257
05055,711
05057,748
05059,536
05061,552
05063,1003
05065,633
05067,437
05069,444
05071,624
05073,263
05075,559
05077,220
05079,377
05081,448
05083,969
05085,767
05087,1250
05089,485
05091,525
05093,347
05095,230
05097,449
05099,351
05101,648
05103,182
05105,419
05107,282
05109,346
05111,397
05113,893
05115,977
05117,445
05119,417
05121,667
05123,326
05125,386
05127,602
05129,592
05131,770
05133,543
05135,648
05137,523
05139,280
05141,587
05143,2502
05145,1836
05147,217
05149,794
06001,452
06003,3
06005,461
06007,2056
06009,663
06011,782
06013,602
06015,121
06017,1358
06019,5683
06021,1311
06023,930
06025,421
06027,125
06029,1938
06031,1056
06033,838
06035,448
06037,1294
06039,1507
06041,323
06043,364
06045,1220
06047,2486
06049,437
06051,72
06053,1179
06055,1685
06057,742
06059,312
06061,1355
06063,141
06065,2949
06067,1352
06069,628
06071,1249
06073,5732
06075,6
06077,3580
06079,2666
06081,334
06083,1597
06085,1003
06087,667
06089,1544
06091,48
06093,929
06095,860
06097,3579
06099,4143
06101,1358
06103,1743
06105,247
06107,4931
06109,391
06111,2150
06113,1011
06115,795
08001,841
08003,322
08005,755
08007,372
08009,737
08011,277
08013,855
08014,25
08015,223
08017,345
08019,25
08021,605
08023,251
08025,228
08027,198
08029,1250
08031,10
08033,283
08035,1116
08037,165
08039,1330
08041,1206
08043,809
08045,625
08047,24
08049,205
08051,244
08053,26
08055,407
08057,105
08059,521
08061,395
08063,704
08065,23
08067,1124
08069,1625
08071,602
08073,464
08075,891
08077,2264
08079,14
08081,492
08083,1138
08085,1128
08087,754
08089,541
08091,108
08093,209
08095,319
08097,82
08099,553
08101,894
08103,313
08105,377
08107,799
08109,277
08111,0
08113,135
08115,226
08117,38
08119,123
08121,824
08123,3525
08125,834
09001,439
09003,899
09005,1207
09007,518
09009,695
09011,949
09013,578
09015,692
10001,863
10003,374
10005,1214
12001,1662
12003,381
12005,115
12007,470
12009,513
12011,615
12013,218
12015,284
12017,559
12019,403
12021,319
12023,945
12027,836
12029,204
12031,352
12033,729
12035,118
12037,20
12039,402
12041,581
12043,331
12045,34
12047,292
12049,982
12051,406
12053,799
12055,969
12057,2466
12059,801
12061,461
12063,1160
12065,617
12067,221
12069,1784
12071,844
12073,284
12075,1053
12077,80
12079,669
12081,689
12083,3870
12085,587
12086,2954
12087,28
12089,444
12091,477
12093,678
12095,662
12097,365
12099,1409
12101,1065
12103,118
12105,2415
12107,430
12109,188
12111,406
12113,666
12115,283
12117,312
12119,1367
12121,1266
12123,181
12125,291
12127,1363
12129,171
12131,670
12133,406
13001,475
13003,194
13005,268
13007,150
13009,124
13011,519
13013,304
13015,458
13017,209
13019,380
13021,113
13023,219
13025,215
13027,364
13029,60
13031,544
13033,393
13035,140
13037,151
13039,69
13043,238
13045,909
13047,269
13049,84
13051,35
13053,13
13055,292
13057,430
13059,90
13061,70
13063,23
13065,80
13067,110
13069,587
13071,484
13073,145
13075,234
13077,357
13079,155
13081,244
13083,192
13085,182
13087,358
13089,25
13091,401
13093,290
13095,121
13097,117
13099,334
13101,40
13103,186
13105,411
13107,438
13109,202
13111,198
13113,126
13115,559
13117,311
13119,775
13121,187
13123,296
13125,96
13127,53
13129,671
13131,471
13133,193
13135,179
13137,422
13139,622
13141,133
13143,299
13145,252
13147,584
13149,168
13151,254
13153,226
13155,373
13157,774
13159,239
13161,192
13163,358
13165,224
13167,255
13169,175
13171,252
13173,86
13175,694
13177,192
13179,46
13181,150
13183,67
13185,411
13187,220
13189,208
13191,56
13193,279
13195,745
13197,203
13199,295
13201,183
13205,443
13207,183
13209,229
13211,572
13213,320
13215,22
13217,285
13219,375
13221,406
13223,142
13225,190
13227,262
13229,356
13231,296
13233,353
13235,176
13237,165
13239,21
13241,114
13243,197
13245,123
13247,103
13249,92
13251,344
13253,149
13255,258
13257,218
13259,108
13261,369
13263,90
13265,55
13267,565
13269,224
13271,300
13273,248
13275,407
13277,285
13279,268
13281,109
13283,149
13285,212
13287,262
13289,108
13291,249
13293,296
13295,528
13297,477
13299,280
13301,134
13303,408
13305,287
13307,102
13309,136
13311,299
13313,378
13315,365
13317,317
13319,114
13321,487
15001,4282
15003,999
15007,591
15009,1128
16001,1233
16003,234
16005,819
16007,493
16009,274
16011,1265
16013,186
16015,105
16017,686
16019,893
16021,370
16023,214
16025,114
16027,2331
16029,436
16031,668
16033,72
16035,256
16037,272
16039,349
16041,834
16043,601
16045,830
16047,596
16049,731
16051,776
16053,560
16055,824
16057,1053
16059,350
16061,216
16063,310
16065,472
16067,622
16069,430
16071,503
16073,578
16075,655
16077,308
16079,36
16081,291
16083,1294
16085,117
16087,559
17001,1298
17003,144
17005,661
17007,479
17009,413
17011,1056
17013,478
17015,643
17017,446
17019,1312
17021,816
17023,677
17025,774
17027,915
17029,704
17031,127
17033,599
17035,733
17037,880
17039,511
17041,735
17043,74
17045,673
17047,365
17049,1302
17051,1240
17053,546
17055,711
17057,970
17059,203
17061,689
17063,431
17065,695
17067,1090
17069,150
17071,396
17073,1373
17075,1470
17077,783
17079,910
17081,1063
17083,509
17085,935
17087,558
17089,590
17091,818
17093,364
17095,856
17097,349
17099,1583
17101,379
17103,835
17105,1349
17107,779
17109,740
17111,911
17113,1489
17115,674
17117,1190
17119,1110
17121,1152
17123,440
17125,490
17127,412
17129,369
17131,715
17133,563
17135,1021
17137,757
17139,553
17141,1148
17143,917
17145,560
17147,426
17149,970
17151,349
17153,230
17155,183
17157,793
17159,554
17161,666
17163,732
17165,483
17167,1092
17169,542
17171,356
17173,1282
17175,348
17177,1087
17179,942
17181,623
17183,956
17185,213
17187,605
17189,777
17191,1187
17193,582
17195,1110
17197,882
17199,702
17201,807
17203,958
18001,1476
18003,1725
18005,623
18007,381
18009,263
18011,607
18013,173
18015,491
18017,688
18019,515
18021,579
18023,597
18025,338
18027,1325
18029,561
18031,610
18033,924
18035,610
18037,720
18039,1724
18041,347
18043,277
18045,460
18047,727
18049,653
18051,589
18053,500
18055,810
18057,598
18059,604
18061,967
18063,694
18065,702
18067,476
18069,695
18071,744
18073,615
18075,836
18077,615
18079,528
18081,562
18083,496
18085,1247
18087,2419
18089,430
18091,731
18093,800
18095,737
18097,231
18099,878
18101,283
18103,666
18105,462
18107,732
18109,583
18111,348
18113,1163
18115,171
18117,478
18119,549
18121,574
18123,413
18125,321
18127,481
18129,408
18131,536
18133,847
18135,772
18137,876
18139,601
18141,691
18143,321
18145,569
18147,597
18149,511
18151,562
18153,433
18155,383
18157,702
18159,377
18161,242
18163,275
18165,270
18167,450
18169,745
18171,413
18173,379
18175,831
18177,805
18179,636
18181,631
18183,710
19001,726
19003,467
19005,1011
19007,744
19009,622
19011,1215
19013,924
19015,938
19017,982
19019,1075
19021,858
19023,1096
19025,826
19027,1065
19029,703
19031,955
19033,780
19035,805
19037,1036
19039,627
19041,720
19043,1577
19045,1244
19047,900
19049,1001
19051,917
19053,711
19055,1382
19057,663
19059,441
19061,1462
19063,475
19065,1286
19067,944
19069,853
19071,533
19073,780
19075,737
19077,829
19079,761
19081,889
19083,819
19085,819
19087,903
19089,883
19091,574
19093,547
19095,1019
19097,1255
19099,1098
19101,685
19103,1342
19105,1061
19107,982
19109,1349
19111,917
19113,1402
19115,612
19117,648
19119,1139
19121,961
19123,1012
19125,1024
19127,882
19129,500
19131,903
19133,538
19135,592
19137,499
19139,786
19141,884
19143,555
19145,739
19147,874
19149,1331
19151,742
19153,773
19155,1188
19157,852
19159,651
19161,914
19163,759
19165,869
19167,1618
19169,966
19171,1132
19173,639
19175,648
19177,753
19179,742
19181,1334
19183,1139
19185,691
19187,968
19189,642
19191,1535
19193,973
19195,640
19197,775
20001,650
20003,707
20005,611
20007,378
20009,694
20011,903
20013,510
20015,1353
20017,252
20019,312
20021,729
20023,393
20025,283
20027,541
20029,461
20031,667
20033,234
20035,990
20037,846
20039,293
20041,1011
20043,422
20045,945
20047,292
20049,315
20051,645
20053,435
20055,499
20057,655
20059,1024
20061,238
20063,395
20065,431
20067,329
20069,418
20071,262
20073,551
20075,397
20077,482
20079,744
20081,187
20083,399
20085,1054
20087,996
20089,453
20091,571
20093,343
20095,808
20097,403
20099,977
20101,315
20103,1133
20105,431
20107,913
20109,325
20111,946
20113,1147
20115,981
20117,796
20119,439
20121,1305
20123,415
20125,1012
20127,454
20129,323
20131,903
20133,702
20135,557
20137,367
20139,1014
20141,343
20143,525
20145,401
20147,441
20149,890
20151,543
20153,307
20155,1633
20157,575
20159,532
20161,493
20163,440
20165,528
20167,504
20169,674
20171,269
20173,1344
20175,363
20177,826
20179,384
20181,416
20183,497
20185,536
20187,278
20189,315
20191,1096
20193,460
20195,384
20197,617
20199,294
20201,732
20203,265
20205,423
20207,315
20209,164
21001,1243
21003,1080
21005,676
21007,408
21009,1869
21011,690
21013,81
21015,608
21017,907
21019,214
21021,620
21023,587
21025,120
21027,1304
21029,488
21031,697
21033,538
21035,821
21037,504
21039,325
21041,278
21043,786
21045,1118
21047,1179
21049,883
21051,243
21053,508
21055,592
21057,371
21059,837
21061,638
21063,389
21065,380
21067,718
21069,1087
21071,87
21073,579
21075,178
21077,185
21079,805
21081,812
21083,1442
21085,1407
21087,1050
21089,604
21091,350
21093,1357
21095,34
21097,1064
21099,1372
21101,465
21103,869
21105,298
21107,731
21109,588
21111,382
21113,668
21115,196
21117,459
21119,42
21121,243
21123,720
21125,1006
21127,291
21129,142
21131,15
21133,54
21135,676
21137,1202
21139,403
21141,1060
21143,219
21145,447
21147,155
21149,413
21151,1219
21153,361
21155,1016
21157,719
21159,20
21161,634
21163,754
21165,294
21167,1067
21169,924
21171,858
21173,609
21175,694
21177,630
21179,1326
21181,570
21183,944
21185,419
21187,701
21189,163
21191,810
21193,49
21195,56
21197,229
21199,1713
21201,251
21203,677
21205,356
21207,726
21209,838
21211,1518
21213,467
21215,529
21217,874
21219,603
21221,397
21223,439
21225,310
21227,1648
21229,1011
21231,778
21233,500
21235,496
21237,297
21239,713
22001,841
22003,429
22005,250
22007,81
22009,937
22011,860
22013,233
22015,472
22017,614
22019,902
22021,295
22023,342
22025,567
22027,295
22029,461
22031,669
22033,432
22035,227
22037,399
22039,663
22041,915
22043,238
22045,279
22047,165
22049,196
22051,57
22053,656
22055,632
22057,407
22059,186
22061,346
22063,405
22065,295
22067,434
22069,630
22071,14
22073,450
22075,140
22077,393
22079,853
22081,252
22083,762
22085,392
22087,56
22089,70
22091,373
22093,63
22095,23
22097,1338
22099,340
22101,128
22103,604
22105,1070
22107,251
22109,189
22111,413
22113,1184
22115,471
22117,826
22119,447
22121,106
22123,733
22125,163
22127,179
23001,463
23003,895
23005,718
23007,388
23009,404
23011,604
23013,314
23015,344
23017,551
23019,677
23021,203
23023,229
23025,579
23027,633
23029,392
23031,779
24001,291
24003,381
24005,640
24009,269
24011,658
24013,1092
24015,496
24017,382
24019,423
24021,1308
24023,667
24025,582
24027,293
24029,367
24031,540
24033,347
24035,530
24037,632
24039,286
24041,328
24043,860
24045,510
24047,374
25001,333
25003,525
25005,717
25007,88
25009,522
25011,780
25013,582
25015,799
25017,739
25019,20
25021,245
25023,825
25025,20
25027,1560
26001,235
26003,93
26005,1396
26007,458
26009,415
26011,421
26013,57
26015,1031
26017,766
26019,181
26021,1063
26023,1054
26025,1023
26027,798
26029,297
26031,313
26033,409
26035,460
26037,1128
26039,49
26041,283
26043,162
26045,1163
26047,287
26049,835
26051,533
26053,62
26055,504
26057,878
26059,1530
26061,177
26063,1205
26065,944
26067,1109
26069,283
26071,117
26073,928
26075,1073
26077,734
26079,224
26081,1159
26083,6
26085,200
26087,1133
26089,494
26091,1618
26093,734
26095,43
26097,103
26099,502
26101,324
26103,168
26105,440
26107,779
26109,398
26111,555
26113,433
26115,1144
26117,1127
26119,151
26121,514
26123,923
26125,537
26127,609
26129,280
26131,109
26133,750
26135,145
26137,180
26139,1363
26141,323
26143,58
26145,1318
26147,1049
26149,967
26151,1467
26153,65
26155,1033
26157,1322
26159,1113
26161,1236
26163,287
26165,357
27001,471
27003,396
27005,1107
27007,573
27009,958
27011,400
27013,1070
27015,1055
27017,501
27019,789
27021,546
27023,674
27025,832
27027,804
27029,519
27031,18
27033,813
27035,533
27037,892
27039,621
27041,1091
27043,824
27045,1553
27047,1122
27049,1536
27051,542
27053,627
27055,920
27057,406
27059,844
27061,401
27063,826
27065,648
27067,1310
27069,544
27071,187
27073,852
27075,44
27077,196
27079,1051
27081,699
27083,904
27085,966
27087,310
27089,1148
27091,897
27093,1147
27095,731
27097,1957
27099,1053
27101,895
27103,764
27105,995
27107,610
27109,1150
27111,3033
27113,515
27115,870
27117,637
27119,1322
27121,931
27123,97
27125,322
27127,1163
27129,1061
27131,1304
27133,689
27135,977
27137,685
27139,847
27141,455
27143,949
27145,3501
27147,796
27149,560
27151,801
27153,1931
27155,458
27157,909
27159,643
27161,805
27163,602
27165,503
27167,391
27169,1115
27171,1463
27173,885
28001,189
28003,505
28005,590
28007,456
28009,312
28011,419
28013,621
28015,503
28017,575
28019,254
28021,249
28023,329
28025,420
28027,273
28029,506
28031,493
28033,433
28035,359
28037,189
28039,573
28041,395
28043,316
28045,248
28047,331
28049,1047
28051,531
28053,262
28055,97
28057,443
28059,409
28061,445
28063,277
28065,337
28067,927
28069,378
28071,449
28073,424
28075,373
28077,397
28079,637
28081,525
28083,300
28085,595
28087,413
28089,685
28091,552
28093,573
28095,726
28097,345
28099,677
28101,562
28103,565
28105,402
28107,745
28109,813
28111,310
28113,531
28115,889
28117,504
28119,347
28121,670
28123,716
28125,128
28127,606
28129,637
28131,271
28133,350
28135,509
28137,569
28139,691
28141,287
28143,108
28145,688
28147,684
28149,238
28151,284
28153,508
28155,362
28157,198
28159,506
28161,364
28163,672
29001,822
29003,826
29005,395
29007,1015
29009,1427
29011,940
29013,1169
29015,800
29017,788
29019,1171
29021,727
29023,509
29025,1035
29027,1417
29029,533
29031,1139
29033,1112
29035,196
29037,1495
29039,819
29041,1120
29043,1177
29045,673
29047,578
29049,758
29051,1055
29053,928
29055,679
29057,734
29059,1188
29061,1199
29063,863
29065,673
29067,984
29069,345
29071,1841
29073,859
29075,708
29077,1752
29079,689
29081,1051
29083,894
29085,487
29087,408
29089,765
29091,1535
29093,273
29095,701
29097,1299
29099,705
29101,1657
29103,695
29105,1398
29107,1174
29109,1849
29111,729
29113,1162
29115,1039
29117,847
29119,926
29121,1291
29123,373
29125,836
29127,704
29129,567
29131,1013
29133,205
29135,1089
29137,1061
29139,795
29141,922
29143,317
29145,1578
29147,1252
29149,752
29151,1115
29153,639
29155,227
29157,951
29159,1311
29161,718
29163,1003
29165,599
29167,1505
29169,520
29171,649
29173,723
29175,818
29177,1162
29179,363
29181,439
29183,566
29185,728
29186,608
29187,627
29189,217
29195,959
29197,516
29199,674
29201,484
29203,452
29205,709
29207,907
29209,601
29211,798
29213,414
29215,1296
29217,1356
29219,621
29221,531
29223,411
29225,1837
29227,384
29229,1246
30001,430
30003,527
30005,546
30007,287
30009,726
30011,327
30013,1105
30015,774
30017,423
30019,338
30021,485
30023,93
30025,295
30027,790
30029,1035
30031,1163
30033,297
30035,602
30037,157
30039,163
30041,802
30043,401
30045,324
30047,1156
30049,703
30051,304
30053,325
30055,489
30057,571
30059,136
30061,95
30063,637
30065,356
30067,564
30069,100
30071,507
30073,505
30075,328
30077,263
30079,186
30081,1438
30083,544
30085,606
30087,437
30089,492
30091,527
30093,140
30095,593
30097,332
30099,742
30101,423
30103,109
30105,654
30107,154
30109,172
30111,1330
31001,567
31003,767
31005,85
31007,193
31009,117
31011,646
31013,466
31015,266
31017,328
31019,1046
31021,560
31023,840
31025,731
31027,939
31029,342
31031,566
31033,555
31035,457
31037,554
31039,918
31041,1352
31043,243
31045,493
31047,806
31049,237
31051,570
31053,767
31055,396
31057,251
31059,472
31061,338
31063,317
31065,389
31067,1263
31069,261
31071,226
31073,260
31075,80
31077,389
31079,593
31081,572
31083,360
31085,235
31087,299
31089,1279
31091,82
31093,682
31095,627
31097,587
31099,344
31101,388
31103,244
31105,402
31107,1080
31109,1836
31111,1168
31113,149
31115,138
31117,118
31119,753
31121,492
31123,512
31125,355
31127,451
31129,435
31131,897
31133,540
31135,394
31137,405
31139,677
31141,942
31143,466
31145,405
31147,736
31149,247
31151,756
31153,396
31155,1204
31157,966
31159,992
31161,536
31163,414
31165,354
31167,619
31169,432
31171,87
31173,367
31175,402
31177,821
31179,518
31181,423
31183,198
31185,541
32001,672
32003,252
32005,255
32007,552
32009,38
32011,101
32013,359
32015,124
32017,185
32019,462
32021,119
32023,198
32027,154
32029,6
32031,479
32033,160
32510,21
33001,302
33003,291
33005,407
33007,293
33009,500
33011,688
33013,600
33015,658
33017,354
33019,298
34001,402
34003,60
34005,838
34007,175
34009,152
34011,583
34013,13
34015,584
34017,0
34019,1447
34021,272
34023,198
34025,823
34027,366
34029,178
34031,78
34033,825
34035,400
34037,885
34039,8
34041,784
35001,1006
35003,351
35005,595
35006,522
35007,290
35009,600
35011,203
35013,2184
35015,551
35017,407
35019,372
35021,202
35023,171
35025,460
35027,362
35028,9
35029,190
35031,2297
35033,597
35035,486
35037,553
35039,1892
35041,680
35043,1029
35045,2628
35047,877
35049,715
35051,256
35053,704
35055,983
35057,589
35059,353
35061,1607
36001,494
36003,784
36005,1
36007,563
36009,1038
36011,891
36013,1515
36015,372
36017,828
36019,603
36021,494
36023,518
36025,704
36027,678
36029,1044
36031,261
36033,688
36035,211
36037,549
36039,273
36041,26
36043,687
36045,876
36047,10
36049,634
36051,661
36053,838
36055,475
36057,659
36059,55
36061,6
36063,760
36065,1066
36067,681
36069,853
36071,658
36073,487
36075,657
36077,995
36079,72
36081,6
36083,495
36085,8
36087,23
36089,1303
36091,583
36093,169
36095,532
36097,393
36099,584
36101,1667
36103,604
36105,321
36107,536
36109,558
36111,486
36113,117
36115,851
36117,873
36119,131
36121,713
36123,919
37001,732
37003,603
37005,567
37007,429
37009,1140
37011,483
37013,364
37015,325
37017,492
37019,254
37021,1060
37023,486
37025,589
37027,411
37029,60
37031,125
37033,543
37035,698
37037,1138
37039,255
37041,141
37043,154
37045,1036
37047,731
37049,256
37051,389
37053,82
37055,9
37057,1062
37059,640
37061,940
37063,232
37065,272
37067,662
37069,542
37071,520
37073,182
37075,107
37077,589
37079,260
37081,962
37083,341
37085,797
37087,597
37089,468
37091,162
37093,202
37095,158
37097,1203
37099,245
37101,1175
